Dates,Song,Artist
2014-07-26,Cool Kids,Echosmith
2014-07-26,Fight Night,Migos
2014-07-26,Dust,Eli Young Band
2014-07-26,Sunshine & Whiskey,Frankie Ballard
2014-08-02,Everything I Didn't Say,5 Seconds Of Summer
2014-08-02,Word Crimes,"""Weird Al"" Yankovic"
2014-08-02,Roller Coaster,Luke Bryan
2014-08-02,Lifestyle,Rich Gang Feat. Young Thug & Rich Homie Quan
2014-08-02,Hideaway,Kiesza
2014-08-09,Burnin' It Down,Jason Aldean
2014-08-09,0 To 100 / The Catch Up,Drake
2014-08-09,Happy Little Pill,Troye Sivan
2014-08-09,Stolen Dance,Milky Chance
2014-08-16,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
2014-08-16,It Was Always You,Maroon 5
2014-08-16,Girl In A Country Song,Maddie & Tae
2014-08-16,Chasing The Sun,Hilary Duff
2014-08-16,This Is How We Do,Katy Perry
2014-08-16,Hot Boy,Bobby Shmurda
2014-08-16,No Flex Zone,Rae Sremmurd
2014-08-16,I Will Never Let You Down,Rita Ora
2014-08-23,Anaconda,Nicki Minaj
2014-08-23,Wild Life,Jack & Jack
2014-08-23,Fireball,Pitbull Feat. John Ryan
2014-08-23,Cold One,Eric Church
2014-08-23,About The Money,T.I. Feat. Young Thug
2014-08-30,Best Mistake,Ariana Grande Feat. Big Sean
2014-08-30,Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Feat. Kill The Noise & Madsonik"
2014-08-30,Hookah,Tyga Feat. Young Thug
2014-08-30,Take Me To Church,Hozier
2014-08-30,Later On,The Swon Brothers
2014-09-06,Shake It Off,Taylor Swift
2014-09-06,Neon Light,Blake Shelton
2014-09-06,Animals,Maroon 5
2014-09-06,Waves,Mr. Probz
2014-09-06,Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Feat. Kid Ink"
2014-09-06,Walk Thru,Rich Homie Quan Feat. Problem
2014-09-13,Guts Over Fear,Eminem Feat. Sia
2014-09-13,***Flawless,Beyonce Feat. Nicki Minaj Or Chimamanda Ngozi Adichie
2014-09-13,She Came To Give It To You,Usher Feat. Nicki Minaj
2014-09-13,Somewhere In My Car,Keith Urban
2014-09-13,24 Hours,TeeFLii Feat. 2 Chainz
2014-09-20,Sweet Little Somethin',Jason Aldean
2014-09-20,Seen It All,Jeezy Feat. Jay Z
2014-09-20,Secrets,Mary Lambert
2014-09-20,"Touchin, Lovin",Trey Songz Feat. Nicki Minaj
2014-09-20,Hold You Down,"DJ Khaled Feat. Chris Brown, August Alsina, Future & Jeremih"
2014-09-20,Look At You,Big & Rich
2014-09-27,Centuries,Fall Out Boy
2014-09-27,Blame,Calvin Harris Feat. John Newman
2014-09-27,Two Night Town,Jason Aldean
2014-09-27,Jealous,Nick Jonas
2014-09-27,Angel In Blue Jeans,Train
2014-09-27,Bend Ova,Lil Jon Feat. Tyga
2014-09-27,Dear Future Husband,Meghan Trainor
2014-10-04,Booty,Jennifer Lopez Feat. Iggy Azalea Or Pitbull
2014-10-04,Gonna Know We Were Here,Jason Aldean
2014-10-04,No Love,August Alsina
2014-10-04,Sun Daze,Florida Georgia Line
2014-10-04,Superheroes,The Script
2014-10-04,X,Chris Brown
2014-10-04,You And Your Friends,Wiz Khalifa Feat. Snoop Dogg & Ty Dolla $ign
2014-10-11,i,Kendrick Lamar
2014-10-11,Tonight Looks Good On You,Jason Aldean
2014-10-11,I Don't F**k With You,Big Sean Feat. E-40
2014-10-11,Anything Goes,Florida Georgia Line
2014-10-11,No Type,Rae Sremmurd
2014-10-11,Tuesday,I LOVE MAKONNEN Feat. Drake
2014-10-11,Handsome And Wealthy,Migos
2014-10-11,Feelin' It,Scotty McCreery
2014-10-11,Close Your Eyes,Parmalee
2014-10-11,Left Hand Free,alt-J
2014-10-18,Steal My Girl,One Direction
2014-10-18,Something In The Water,Carrie Underwood
2014-10-18,Just Gettin' Started,Jason Aldean
2014-10-18,Bumpin' The Night,Florida Georgia Line
2014-10-18,Yellow Flicker Beat,Lorde
2014-10-18,Heroes (We Could Be),Alesso Feat. Tove Lo
2014-10-18,U Guessed It,OG Maco Feat. 2 Chainz
2014-10-18,Shotgun Rider,Tim McGraw
2014-10-25,EW!,Jimmy Fallon Feat. will.i.am
2014-10-25,Sippin' On Fire,Florida Georgia Line
2014-10-25,Thinking Out Loud,Ed Sheeran
2014-10-25,The Days,Avicii
2014-10-25,Love Me Harder,Ariana Grande & The Weeknd
2014-10-25,Perfect Storm,Brad Paisley
2014-10-25,L.A.LOVE (la la),Fergie
2014-10-25,Errrbody,Yo Gotti
2014-10-25,Body Language,Kid Ink Feat. Usher & Tinashe
2014-11-01,Out Of The Woods,Taylor Swift
2014-11-01,In Your Arms,Nico & Vinz
2014-11-01,Burnin' Up,Jessie J Feat. 2 Chainz
2014-11-01,I'm Not Gonna Miss You,Glen Campbell
2014-11-01,Bobby Bitch,Bobby Shmurda
2014-11-01,Often,The Weeknd
2014-11-01,Drinking Class,Lee Brice
2014-11-08,Baby Don't Lie,Gwen Stefani
2014-11-08,Welcome To New York,Taylor Swift
2014-11-08,Try Me,DeJ Loaf
2014-11-08,Outside,Calvin Harris Feat. Ellie Goulding
2014-11-08,G.D.F.R.,Flo Rida Feat. Sage The Gemini & Lookas
2014-11-08,Talladega,Eric Church
2014-11-08,Beg For It,Iggy Azalea Feat. M0
2014-11-08,Lips Are Movin,Meghan Trainor
2014-11-08,Dangerous,David Guetta Feat. Sam Martin
2014-11-08,Made Me,Snootie Wild Feat. K Camp
2014-11-08,God Made Girls,RaeLynn
2014-11-15,Blank Space,Taylor Swift
2014-11-15,I Bet My Life,Imagine Dragons
2014-11-15,Only,"Nicki Minaj Feat. Drake, Lil Wayne & Chris Brown"
2014-11-15,Style,Taylor Swift
2014-11-15,I Won't Let You Down,OK Go
2014-11-15,Ghost,Ella Henderson
